,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
0,1,NonResidential,Hotel,1927,1.0,12.0,88434.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,62.5,7103895.25,249.705,0.005990500000002896,-0.005929199999997081,Mayflower park hotel at 405 Olive way,North DownTown,0.8007980577936324,88434.0,7369.5
1,2,NonResidential,Hotel,1996,1.0,11.0,103566.0,14.55,85.45,Hotel,80.99,Restaurant,4.46,No information,0.0,56.0,8371084.0,279.685,0.006930500000002837,-0.0015692000000058215,Paramount Hotel at 724 Pine street,North DownTown,0.7795641491606202,103566.0,9415.09
2,3,NonResidential,Hotel,1969,1.0,41.0,956110.0,20.57,79.43,Hotel,79.12,Swimming Pool,0.0,No information,0.0,30.5,72858840.0,2075.38,0.007430499999998119,-0.0058292000000079724,5673-The Westin Seattle at 1900 5th Avenue,North DownTown,0.9346766806237417,956110.0,23319.76
3,5,NonResidential,Hotel,1926,1.0,10.0,61320.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,28.5,17511952.0,1111.385,0.007960500000002924,-0.004549199999999587,HOTEL MAX at 620 STEWART ST,North DownTown,0.9485903282725666,61320.0,6132.0
4,8,NonResidential,Hotel,1980,1.0,18.0,185445.0,33.43,66.57,Hotel,66.57,Swimming Pool,0.0,No information,0.0,71.0,14500852.5,506.355,0.007540500000004613,-0.008629200000001447,WARWICK SEATTLE HOTEL (ID8) at 401 LENORA ST,North DownTown,1.0590032801749003,185445.0,10302.5
5,9,Nonresidential COS,Other,1999,1.0,2.0,126028.0,29.52,70.48,Police Station,70.48,No information,0.0,No information,0.0,,12069300.0,303.215,0.010130500000002485,-0.004589199999998073,West Precinct at 810 Virginia St,North DownTown,1.1778224954415424,126028.0,63014.0
6,10,NonResidential,Hotel,1926,1.0,11.0,83008.0,0.0,100.0,Hotel,98.01,No information,0.0,No information,0.0,26.0,6005818.5,192.3,0.007790499999998701,-0.000709200000002852,Camlin at 1619 9th Avenue,North DownTown,0.8678951724308849,83008.0,7546.18
7,11,NonResidential,Other,1926,1.0,8.0,102761.0,0.0,100.0,Social/Meeting Hall,100.0,No information,0.0,No information,0.0,,6362076.75,210.75,0.006870499999998003,0.0007307999999994763,Paramount Theatre at 911 Pine St,North DownTown,0.765927605803988,102761.0,12845.12
8,12,NonResidential,Hotel,1904,1.0,15.0,163984.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,44.5,13178782.0,361.885,-0.0034494999999949982,-0.0005191999999993868,311wh-Pioneer Square at 612 2nd Ave,North DownTown,0.38553753633637994,163984.0,10932.27
10,15,NonResidential,Hotel,1969,1.0,11.0,153163.0,12.59,87.41,Hotel,87.41,No information,0.0,No information,0.0,39.0,15368248.5,633.945,0.0008304999999992901,-0.0021592000000083544,Hotel Monaco Seattle at 1101 4th Avenue,North DownTown,0.1863635728267205,153163.0,13923.91
11,16,NonResidential,Hotel,1998,1.0,25.0,397801.0,15.37,84.63,Hotel,84.63,No information,0.0,No information,0.0,34.0,27329068.0,732.185,0.0009505000000018526,-0.0012791999999990367,5679-W Seattle at 1112 Fourth Avenue,North DownTown,0.14271501989181262,397801.0,15912.04
12,17,NonResidential,Hotel,1928,1.0,9.0,65009.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,43.5,6701642.25,331.55,0.0008304999999992901,-0.0012092000000052394,Executive Pacific Plaza at 400 Spring Street,North DownTown,0.12940663155274956,65009.0,7223.22
13,18,NonResidential,Hotel,1980,1.0,33.0,353111.0,16.31,83.69,Hotel,83.69,No information,0.0,No information,0.0,57.0,22568527.0,661.98,0.0018804999999986194,-4.9200000006521805e-05,Crowne Plaza Hotel Seattle at 1113 6th Ave,North DownTown,0.20913487727597183,353111.0,10700.33
14,19,NonResidential,Hotel,1922,1.0,11.0,92590.0,27.22,72.78,Hotel,72.78,No information,0.0,No information,0.0,24.5,10730730.5,498.82,0.0013705000000001633,-0.0003092000000037842,Hotel Vintage Seattle at 1100 5th Avenue,North DownTown,0.15414576828739718,92590.0,8417.27
15,21,Nonresidential COS,Other,2004,1.0,11.0,422987.0,13.48,86.52,Library,86.27,Data Center,0.25,No information,0.0,,17719047.0,174.11,0.00037050000000249383,-0.0005492000000089092,The Seattle Public Library - Central Library at 1000 Fourth Avenue,North DownTown,0.05824528609944315,422987.0,38453.36
16,22,NonResidential,Other,1930,1.0,6.0,130000.0,0.0,100.0,Fitness Center/Health Club/Gym,69.23,Office,30.77,Swimming Pool,0.0,,10148339.0,422.475,-0.0007494999999977381,-0.0007292000000092003,Downtown Seattle YMCA at 909 4th Avenue,North DownTown,0.09967114737272248,130000.0,21666.67
17,23,NonResidential,Hotel,1983,1.0,28.0,433329.0,19.62,80.38,Hotel,80.38,No information,0.0,No information,0.0,30.5,33413637.0,779.005,0.00047049999999870806,0.001360800000000495,Renaissance Seattle Hotel at 515 Madison Street,North DownTown,0.11465153686289624,433329.0,15476.04
18,24,NonResidential,Mixed Use Property,1907,1.0,5.0,57452.0,0.0,100.0,Social/Meeting Hall,28.62,Restaurant,26.99,Office,16.96,,7543926.25,269.26,-0.0008695000000003006,0.00046079999999903976,The Rainier Club at 820 4th Ave.,North DownTown,0.10267075656618632,57452.0,11490.4
19,25,NonResidential,Hotel,1916,1.0,10.0,104352.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,61.0,8999860.0,380.27,-0.0023394999999979404,7.080000000314612e-05,Arctic Club Seattle at 700 3rd Ave,North DownTown,0.2601950378503385,104352.0,10435.2
20,26,NonResidential,Other,1916,1.0,10.0,540360.0,0.0,100.0,Courthouse,99.41,No information,0.0,No information,0.0,71.5,49158558.0,1430.685,-0.003559500000001492,0.0015507999999897493,King County Courthouse at 516 3RD AVE,North DownTown,0.41252266692068623,540360.0,54036.0
21,27,NonResidential,Other,1985,1.0,19.0,385274.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,49379530.0,1747.435,-0.0025495000000006485,0.0037107999999932417,King County Correctional Facility at 500 5TH AVE,South DownTown,0.3971981108796916,385274.0,20277.58
22,28,SPS-District K-12,K-12 School,1961,1.0,2.0,58916.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,95.5,1496850.25,36.85,-0.060479499999999575,0.06351080000000309,Graham Hill Elementary at 5149 S. Graham St.,SOUTHEAST,8.241555477762175,58916.0,29458.0
23,29,NonResidential,Hotel,2001,1.0,6.0,88592.0,34.52,65.48,Hotel,65.48,No information,0.0,No information,0.0,84.5,3772170.25,96.045,0.05335050000000052,0.014600799999996639,WATERTOWN HOTEL at 4242 ROOSEVELT WAY NE,NORTHEAST,6.032356133867701,88592.0,14765.33
24,30,NonResidential,College/University,1928,1.0,7.0,126593.0,0.0,100.0,College/University,98.74,No information,0.0,No information,0.0,,10567621.5,348.32,0.012070500000000095,-0.004539199999996413,Main Campus Center at 1000 Lenora St.,North DownTown,1.3846401494079958,126593.0,18084.71
25,31,NonResidential,Other,1930,1.0,2.0,67224.0,0.0,100.0,Automobile Dealership,100.0,No information,0.0,No information,0.0,,1349476.8125,9.405,0.00875050000000499,0.0014707999999927779,Seattle Honda at 1015 & 1017 Olive Way,North DownTown,0.9792395103265069,67224.0,33612.0
26,32,NonResidential,Hotel,1991,1.0,8.0,158676.0,19.1,80.9,Hotel,71.01,Retail Store,2.84,No information,0.0,,5243696.75,253.0,0.006790500000001032,0.0028107999999917865,Homewood Suites at 1011 Pike ST,EAST,0.7839201413453957,158676.0,19834.5
27,33,NonResidential,Hotel,2001,1.0,10.0,171866.0,22.27,77.73,Hotel,75.01,No information,0.0,No information,0.0,38.5,11044430.5,324.18,0.011750499999997999,0.0022108000000002903,Marriott Springhill Suites (33) at 1800 Yale Ave,North DownTown,1.3170659561791747,171866.0,17186.6
28,34,SPS-District K-12,K-12 School,1955,1.0,1.0,126351.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,57.0,3141613.0,122.255,0.016670500000003585,0.02664079999999558,Meany Building at 301/300 21st Ave. E.,CENTRAL,2.72468748705706,126351.0,126351.0
29,35,NonResidential,Hotel,1978,1.0,5.0,68410.0,23.68,76.32,Hotel,70.16,No information,0.0,No information,0.0,58.5,4399210.25,127.005,0.00951050000000464,-0.009849200000004998,Hotel Five at 2200 5th ave,North DownTown,1.289759912474749,68410.0,13682.0
30,36,SPS-District K-12,K-12 School,1949,1.0,2.0,164229.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,77.5,6583441.5,265.275,0.10381050000000158,0.038670799999991345,Jane Addams Middle at 11051 34th Ave. N.E.,NORTH,11.901020212406335,164229.0,82114.5
31,37,SPS-District K-12,K-12 School,1989,1.0,2.0,55166.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,94.0,736274.0,10.35,0.026750499999998567,-0.02001920000000723,John Hay Elementary at 201 Garfield St.,MAGNOLIA / QUEEN ANNE,3.33154203737389,55166.0,27583.0
32,38,NonResidential,Small- and Mid-Sized Office,1906,1.0,3.0,87262.0,0.0,100.0,Office,46.92,K-12 School,20.8,Social/Meeting Hall,4.94,,4067324.75,153.58,0.05780049999999903,0.0006207999999929825,Good Shepherd Center at 4649 Sunnyside Ave. N.,LAKE UNION,6.427299559673908,87262.0,29087.33
33,40,NonResidential,Hotel,1994,1.0,4.0,81871.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,24.5,7044166.75,229.185,0.05963050000000436,0.03280079999998975,Silver Cloud University at 5036 25th Ave NE,NORTHEAST,7.0714418903872795,81871.0,20467.75
34,41,NonResidential,Warehouse,1955,1.0,2.0,110356.0,0.0,100.0,Warehouse,23.76,No information,0.0,No information,0.0,77.0,312542.90625,3.82,0.05600050000000323,0.03602080000000285,08781-University Village at 2746 Ne 45th St Suite 100,NORTHEAST,6.786759200011038,110356.0,55178.0
35,43,Campus,Mixed Use Property,1992,1.0,3.0,1856706.0,0.0,100.0,Office,40.77,Laboratory,34.47,Non-Refrigerated Warehouse,24.76,8.0,448385312.0,16870.98,-0.07127949999999572,0.014190799999994397,Plant 2 Site at 7755 E MARGINAL WAY S,GREATER DUWAMISH,7.997109466256555,1856706.0,618902.0
36,46,NonResidential,Warehouse,1961,3.0,2.0,963000.0,0.0,100.0,Non-Refrigerated Warehouse,63.97,Refrigerated Warehouse,28.66,Office,7.37,1.0,46287526.0,322.69,-0.0952194999999989,0.04255080000000078,Seattle 11-13 at 3301 S NORFOLK ST,GREATER DUWAMISH,11.058904009459058,321000.0,481500.0
37,50,SPS-District K-12,K-12 School,1990,1.0,2.0,54986.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,94.0,1652945.625,30.125,0.05077049999999872,-0.0584891999999968,Lawton Elementary at 4000 27th Ave. W.,MAGNOLIA / QUEEN ANNE,7.147025514488928,54986.0,27493.0
38,51,SPS-District K-12,K-12 School,1950,1.0,2.0,182861.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,88.0,6313273.25,262.36,0.07627049999999969,0.03761079999999595,Eckstein Middle at 3003 N.E. 75th St.,NORTHEAST,8.93671023920447,182861.0,91430.5
39,52,NonResidential,Small- and Mid-Sized Office,1961,1.0,2.0,94900.0,0.0,100.0,Office,58.57,Non-Refrigerated Warehouse,41.43,No information,0.0,57.0,6115157.25,126.82,0.05963050000000436,-0.053329200000007404,SBC52 at 5305 Shilshole Ave NW,BALLARD,7.741555556128925,94900.0,47450.0
40,53,NonResidential,Small- and Mid-Sized Office,1900,1.0,2.0,58878.0,0.0,100.0,Office,86.67,Education,13.33,No information,0.0,88.0,2544508.625,70.415,-0.026029499999999928,0.02051079999999672,El Centro de la Raza at 2524 16th Ave S,GREATER DUWAMISH,3.277647026241507,58878.0,29439.0
41,54,NonResidential,K-12 School,1954,1.0,3.0,175015.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,95.0,7037429.25,249.785,0.08272050000000064,-0.0037692000000077996,Blanchet High School at 8200 Wallingford Ave. N,NORTHWEST,9.20244531981645,175015.0,58338.33
42,55,NonResidential,Warehouse,1911,1.0,3.0,70586.0,0.0,100.0,Warehouse,54.46,Education,39.95,Office,5.47,,2152845.5,42.65,0.007100499999999954,-0.019059200000000942,Vine Street at 11 Vine Street,North DownTown,1.632413261391459,70586.0,23528.67
43,56,NonResidential,Hotel,1969,1.0,24.0,554600.0,37.14,62.86,Hotel,62.86,No information,0.0,No information,0.0,67.5,15911911.0,279.59,0.003270499999999288,-0.001309200000008559,Seattle Hilton Hotel at 1301 Sixth Ave,North DownTown,0.3766751442697945,554600.0,23108.33
44,57,NonResidential,Large Office,1973,1.0,5.0,169531.0,0.0,100.0,Office,60.97,Retail Store,38.74,Data Center,0.29,78.5,9375001.0,65.355,0.00496050000000281,-0.004399200000008818,5th and Pine at 413 Pine Street,North DownTown,0.6426567075165343,169531.0,33906.2
45,58,NonResidential,Retail Store,1920,1.0,2.0,67211.0,0.0,100.0,Mall,76.99,Services,8.45,Other,14.56,,623681.0,16.63,0.004550500000000568,-0.0055892000000028474,1525 4th Avenue at 1525 4th Ave,North DownTown,0.6569585534612726,67211.0,33605.5
46,59,NonResidential,Small- and Mid-Sized Office,1910,1.0,8.0,59400.0,0.0,100.0,Office,58.83,Retail Store,8.41,No information,0.0,14.0,4493960.5,31.33,0.004270500000004063,-0.005879200000009632,Gibraltar Tower at 1520 3rd Ave,North DownTown,0.6478799830008566,59400.0,7425.0
47,60,NonResidential,Mixed Use Property,1926,1.0,2.0,52549.0,0.0,100.0,Social/Meeting Hall,44.72,Restaurant,44.72,Office,10.39,,15305071.5,583.86,0.0026305000000022005,-0.005359200000000897,Mann Building at 1401 3rd Avenue,North DownTown,0.49696558237800154,52549.0,26274.5
49,62,NonResidential,Hotel,1930,1.0,20.0,98634.0,10.18,89.82,Hotel,84.75,Restaurant,5.07,No information,0.0,58.5,5508579.75,68.495,0.006100500000002285,-0.00229920000001016,Roosevelt Hotel at 1531 7th Ave,North DownTown,0.6999008538489706,98634.0,4931.7
50,63,NonResidential,Hotel,1982,1.0,34.0,1140906.0,12.86,87.14,Hotel,87.14,Swimming Pool,0.0,No information,0.0,61.5,82913584.0,2648.825,0.004730500000000859,-0.0013892000000055305,Sheraton Seattle Hotel at 1400 6th Avenue,North DownTown,0.5362189038800776,1140906.0,33556.06
51,65,NonResidential,Hotel,1985,1.0,7.0,84880.0,16.18,83.82,Hotel,48.7,Retail Store,11.31,No information,0.0,98.5,5194345.5,130.605,0.0037205000000000155,-0.009329199999996263,Inn at the Market at 86 Pine St,North DownTown,0.8125830482922701,84880.0,12125.71
52,66,NonResidential,Hotel,1908,1.0,7.0,122810.0,0.0,100.0,Hotel,71.95,Social/Meeting Hall,21.54,Retail Store,6.51,99.0,5244070.25,218.55,0.005340500000002635,-0.008929199999997195,Moore Hotel INC at 1926 2nd Ave,North DownTown,0.8948326592727742,122810.0,17544.29
53,67,NonResidential,Hotel,1959,1.0,5.0,113173.0,37.59,62.41,Hotel,62.41,No information,0.0,No information,0.0,86.0,5136292.25,132.76,0.013910500000001491,-0.012069199999999114,QUALITY INN at 618 JOHN ST,LAKE UNION,1.791933637451956,113173.0,22634.6
54,68,NonResidential,Hotel,2000,1.0,7.0,150453.0,23.09,76.91,Hotel,71.48,Restaurant,1.99,No information,0.0,83.5,6719036.5,195.765,0.013950499999999977,-0.010699200000004794,Rainier Hospitality at 211 Dexter Ave N,LAKE UNION,1.7462909265591209,150453.0,21493.29
55,69,NonResidential,Hotel,1997,1.0,6.0,116690.0,24.17,75.83,Hotel,75.83,No information,0.0,No information,0.0,82.0,5920836.75,166.2,0.014030500000004054,-0.011109200000007036,Sequim Lodging Corp at 226 Aurora Ave N,LAKE UNION,1.7684599371132765,116690.0,19448.33
56,70,NonResidential,Hotel,1998,1.0,6.0,192346.0,19.1,80.9,Hotel,80.9,No information,0.0,No information,0.0,81.0,6876096.5,154.675,0.014160500000002685,-0.027529200000003584,Homewood Suites by Hilton Seattle Downtonw at 206 Western Ave West,MAGNOLIA / QUEEN ANNE,2.5957082302334933,192346.0,32057.67
57,73,NonResidential,K-12 School,1911,1.0,3.0,56072.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,76.5,3170858.875,142.98,0.02823049999999938,0.024090799999996193,Seattle Hebrew Academy at 1617 Interlaken Drive East,EAST,3.6213411400531546,56072.0,18690.67
58,77,NonResidential,Hotel,1999,1.0,4.0,122942.0,36.51,63.49,Hotel,63.49,No information,0.0,No information,0.0,94.0,5307055.5,170.565,0.018870499999998458,-0.01248920000000453,Comfort Suites Seattle Center at 601 Roy St,MAGNOLIA / QUEEN ANNE,2.297665383958341,122942.0,30735.5
59,82,NonResidential,Small- and Mid-Sized Office,1962,1.0,2.0,54984.0,0.0,100.0,Office,100.0,No information,0.0,No information,0.0,68.0,3440084.0,86.745,0.0021105000000005703,0.022520799999995234,Dept of Social & Health Services at 1700 E. Cherry St,CENTRAL,1.704586759160097,54984.0,27492.0
60,84,NonResidential,Residential Care Facility,1922,1.0,5.0,296313.0,0.0,100.0,Residential Care Facility,100.0,No information,0.0,No information,0.0,52.0,44143198.0,1792.975,-0.04783950000000203,-0.04594920000000968,PSSA - The Mount at 4831 35th Ave SW,SOUTHWEST,6.3383676293464255,296313.0,59262.6
61,85,NonResidential,Residential Care Facility,1970,1.0,2.0,93397.0,0.0,100.0,Residential Care Facility,100.0,No information,0.0,No information,0.0,1.0,16387163.5,605.55,0.11787050000000221,-0.02406919999999957,Foss Home and Village at 13023 Greenwood Ave. N,NORTHWEST,13.229975834635813,93397.0,46698.5
62,86,NonResidential,Hotel,2008,1.0,6.0,84103.0,24.65,75.35,Hotel,75.35,No information,0.0,No information,0.0,71.0,3842616.125,70.55,0.013690500000002714,-9.200000008036113e-06,SCCA - ALLIANCE HOUSE at 207 Pontius Ave N,LAKE UNION,1.5223164021455402,84103.0,14017.17
63,87,SPS-District K-12,K-12 School,1948,1.0,2.0,65568.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,,0.0,4.19,-0.09668949999999654,-0.045829200000000014,Arbor Heights Elementary at 3701 S.W. 104th St.,SOUTHWEST,11.288012771755733,65568.0,32784.0
64,89,NonResidential,Medical Office,1965,0.0,3.0,179014.0,0.0,100.0,Medical Office,100.0,No information,0.0,No information,0.0,48.0,17784911.5,497.31,0.006260500000003333,0.01070079999999507,Polyclinic North && South at 1200 Harvard Ave,EAST,1.0621301080406578,inf,59671.33
65,95,NonResidential,Hotel,1908,1.0,7.0,76631.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,47.5,7245343.25,259.195,0.0027605000000008317,0.005190799999994056,Sorrento Hotel at 900 Madison St.,EAST,0.4956356227095367,76631.0,10947.29
66,96,NonResidential,Mixed Use Property,1983,1.0,6.0,99780.0,9.36,90.64,Medical Office,40.26,Office,17.06,No information,0.0,,15356902.5,463.195,0.002170499999998299,0.005570800000000986,Central Seattle at 921 Terry Ave.,EAST,0.48235734307074885,99780.0,16630.0
67,98,NonResidential,Retail Store,1929,1.0,2.0,72072.0,0.0,100.0,Retail Store,100.0,No information,0.0,No information,0.0,95.5,1061964.3125,39.375,0.016160499999998024,-0.005979199999998741,Firestone Store#012432 at 400 Westlake Ave N,LAKE UNION,1.8520180749322388,72072.0,36036.0
68,100,NonResidential,Large Office,2010,1.0,5.0,467032.0,32.27,67.73,Office,56.06,Other,3.24,No information,0.0,96.0,13548406.5,134.94,0.01805050000000108,-0.0041092000000020334,City Place III - SEDO at 551 Boren Ave. North,LAKE UNION,2.030623267566662,467032.0,93406.4
69,102,NonResidential,Hotel,1990,1.0,7.0,282863.0,15.83,84.17,Hotel,83.36,No information,0.0,No information,0.0,38.5,19144220.0,518.015,0.020180500000002155,-0.001119200000005094,Residence Inn Seattle - Lake Union at 800 Fairview Ave. N,LAKE UNION,2.2455398835360576,282863.0,40409.0
70,103,Nonresidential COS,Other,1962,1.0,1.0,389000.0,0.0,100.0,Other,94.6,No information,0.0,No information,0.0,,26498189.0,683.96,0.015450500000000034,-0.021629200000006676,Key Arena at 334 1st Ave. N,MAGNOLIA / QUEEN ANNE,2.3622499422229533,389000.0,389000.0
71,104,Nonresidential COS,Other,1962,1.0,1.0,91213.0,0.0,100.0,Other,71.26,No information,0.0,No information,0.0,,6605504.75,233.74,0.015450500000000034,-0.021629200000006676,Bagley Wright Theatre at 151 Mercer St.,MAGNOLIA / QUEEN ANNE,2.3622499422229533,91213.0,91213.0
72,106,Nonresidential COS,Other,1938,1.0,5.0,396085.0,0.0,100.0,Other,70.31,No information,0.0,No information,0.0,,24070061.0,852.505,0.01577050000000213,-0.020059200000005717,Armory at 305 Harrison St.,MAGNOLIA / QUEEN ANNE,2.309974044073724,396085.0,79217.0
73,107,NonResidential,Large Office,2010,1.0,12.0,935703.0,33.2,66.8,Office,63.99,Other,2.8,No information,0.0,90.0,40670332.0,627.24,0.014850500000001432,-0.004029200000005062,City Place IV - SEDO at 333 Boren Ave. N.,LAKE UNION,1.678696050770364,935703.0,77975.25
74,110,Nonresidential COS,Other,1962,1.0,2.0,52000.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,2679420.5,99.11,0.017730499999998983,-0.01927919999999972,Exhibition Hall at 225 Mercer St.,MAGNOLIA / QUEEN ANNE,2.4444551207075196,52000.0,26000.0
75,111,Nonresidential COS,Other,1928,1.0,1.0,108000.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,900461.65625,6.28,0.01771049999999974,-0.018299200000001292,Mercer Arena at 363 Mercer St.,MAGNOLIA / QUEEN ANNE,2.399933590343832,108000.0,108000.0
76,112,Nonresidential COS,Other,1928,1.0,2.0,296000.0,0.0,100.0,Other,100.0,No information,0.0,No information,0.0,,20775689.0,444.62,0.01771049999999974,-0.018629200000006563,McCaw Hall at 321 Mercer St.,MAGNOLIA / QUEEN ANNE,2.414156569059047,296000.0,148000.0
77,113,NonResidential,Small- and Mid-Sized Office,1986,0.0,2.0,66240.0,3.55,96.45,Office,69.29,Data Center,7.82,Distribution Center,6.87,,4248136.125,29.615,0.01771049999999974,-0.01628920000000278,KCTS9 at 401 Mercer St,MAGNOLIA / QUEEN ANNE,2.317123017083342,inf,33120.0
78,114,NonResidential,Large Office,2010,1.0,6.0,1039291.0,29.22,70.78,Office,70.2,Other,0.58,No information,0.0,93.0,36674116.0,654.06,0.017560500000001866,-0.012499200000007704,Bill and Melinda Gates Foundation at 500 5th Ave N,MAGNOLIA / QUEEN ANNE,2.1657812914132735,1039291.0,173215.17
79,115,NonResidential,Small- and Mid-Sized Office,1970,1.0,4.0,76882.0,33.73,66.27,Office,63.14,Other,3.13,No information,0.0,70.0,3389882.75,47.295,0.01425050000000283,-0.026349199999998518,J.G. Scripps Building at 221 1st Ave. W,MAGNOLIA / QUEEN ANNE,2.532207126287148,76882.0,19220.5
80,116,NonResidential,Hotel,2002,1.0,6.0,96910.0,38.11,61.89,Hotel,61.89,No information,0.0,No information,0.0,54.0,5108421.25,145.41,0.01671050000000207,-0.025019200000002684,MEDITERRANEAN INN (ID#116) at 425 queen anne ave N.,MAGNOLIA / QUEEN ANNE,2.6400258048809198,96910.0,16151.67
81,117,NonResidential,Hotel,1962,2.0,4.0,50017.0,0.0,100.0,Hotel,100.0,Swimming Pool,0.0,No information,0.0,52.0,5509723.5,193.77,0.05153049999999837,0.014530800000002841,UNIVERSITY INN at 4140 ROOSEVELT WAY NE,NORTHEAST,5.8324748994410935,25008.5,12504.25
82,118,SPS-District K-12,K-12 School,1999,1.0,3.0,75364.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,85.0,928664.5,18.52,-0.04310949999999991,-0.025889200000008827,Pathfinder K-8 at 1901 SW Genesee St.,DELRIDGE,5.171897942083585,75364.0,25121.33
83,119,NonResidential,K-12 School,1923,1.0,3.0,67743.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,38.5,2475083.5,71.4,0.019650500000004456,0.02383079999999893,St. Joseph K-8 School at 700 18th Ave. E.,EAST,2.8222571707963975,67743.0,22581.0
84,120,NonResidential,K-12 School,1908,1.0,6.0,194104.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,100.0,6054861.75,236.605,0.01999049999999869,0.027850799999995957,Holy Names Academy at 728 21st Ave East,EAST,3.0494321268623983,194104.0,32350.67
85,121,NonResidential,Small- and Mid-Sized Office,2003,1.0,3.0,99433.0,35.96,64.04,Office,64.04,No information,0.0,No information,0.0,67.0,4668397.0,32.545,-0.02212949999999836,0.030810799999997585,2100 Building at 2100 24th Ave S,SOUTHEAST,3.375331291181973,99433.0,33144.33
86,122,SPS-District K-12,K-12 School,1991,1.0,2.0,60725.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,71.0,1075060.0,15.675,-0.03290949999999526,0.04147079999999903,John Muir Elementary at 3301 S. Horton St.,SOUTHEAST,4.802441722528222,60725.0,30362.5
87,125,SPS-District K-12,K-12 School,1957,1.0,1.0,134446.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,63.0,6153617.5,224.985,-0.04263949999999994,0.02043079999999975,Mercer International Middle at 1600 Columbian Way S.,GREATER DUWAMISH,4.982767465112402,134446.0,134446.0
88,127,SPS-District K-12,K-12 School,1989,1.0,3.0,59955.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,93.5,1577364.1875,17.79,-0.05158949999999862,0.05589080000000024,Orca K-8 School at 5215 46th Ave. S.,SOUTHEAST,7.105071547134375,59955.0,19985.0
89,130,SPS-District K-12,K-12 School,1964,1.0,2.0,93218.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,85.0,2979995.5,91.065,0.030570500000003165,-0.02688919999999939,McClure Middle at 1915 1st Ave. W.,MAGNOLIA / QUEEN ANNE,3.9517843762945755,93218.0,46609.0
90,131,NonResidential,Other,1941,1.0,4.0,56521.0,0.0,100.0,Other,86.69,No information,0.0,No information,0.0,,6400446.0,44.62,0.06906049999999908,0.01673079999999061,Lakeview at 1208 NE 64th st,NORTHEAST,7.78081906853875,56521.0,14130.25
91,132,NonResidential,Other,1929,1.0,2.0,206934.0,0.0,100.0,Other,57.58,No information,0.0,No information,0.0,,4357773.25,136.41,0.06942049999999966,0.015130799999994338,Roosevelt Square at 6417 Roosevelt Way NE # 18-28,NORTHEAST,7.802011922019156,206934.0,103467.0
92,136,NonResidential,Hotel,2001,1.0,4.0,51390.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,87.5,3738118.5,133.08,0.12513050000000447,-0.013949199999998996,Holiday Inn Express North Seattle Shoreline at 14115 Aurora Ave N,NORTHWEST,13.953047255264588,51390.0,12847.5
93,137,SPS-District K-12,K-12 School,1963,1.0,2.0,131909.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,88.0,3916902.75,126.22,0.11843050000000233,-0.021469199999998523,Broadview-Thomson K-8 at 13052 Greenwood Ave. N.,NORTHWEST,13.266665720348156,131909.0,65954.5
94,138,SPS-District K-12,K-12 School,1959,1.0,1.0,245587.0,0.0,100.0,K-12 School,100.0,No information,0.0,No information,0.0,93.5,11104989.5,410.41,0.11962050000000346,-0.005149200000005294,Ingraham High at 1819 N. 135th St.,NORTHWEST,13.306799007679613,245587.0,245587.0
