,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
330,462,NonResidential,Small- and Mid-Sized Office,1960,1.0,3.0,55593.0,0.0,100.0,Office,100.0,No information,0.0,No information,0.0,56.0,4162339.75,90.865,-0.03910949999999502,-0.03208920000000148,Delridge Building at 4045 Delridge Way,DELRIDGE,4.970292214393306,55593.0,18531.0
331,463,NonResidential,Large Office,1982,1.0,4.0,134056.0,45.47,54.53,Office,53.76,No information,0.0,No information,0.0,54.5,4679769.0,32.625,0.01653050000000178,-8.92000000050075e-05,425 Pontius at 425 Pontius Ave N,LAKE UNION,1.8381224347328067,134056.0,33514.0
332,464,NonResidential,Retail Store,2005,1.0,1.0,158415.0,0.0,100.0,Retail Store,100.0,No information,0.0,No information,0.0,24.0,22879526.0,464.54,-0.04086949999999945,0.0015307999999976118,Costco #0001 Seattle at 4401 4th Ave South,GREATER DUWAMISH,4.545937335935562,158415.0,158415.0
333,465,NonResidential,Large Office,1929,1.0,8.0,287819.0,0.0,100.0,Office,54.2,Data Center,30.7,Other,5.43,,48754360.0,350.05,0.012810500000000502,-0.0044091999999977816,1000 Denny Building at 1000 Denny Way,LAKE UNION,1.4623069378002755,287819.0,35977.38
334,466,NonResidential,Other,1975,1.0,8.0,158738.0,0.0,100.0,Medical Office,100.0,No information,0.0,No information,0.0,,64251380.0,1314.32,0.0037705000000016753,0.0048207999999902995,VM Seattle Hospital & Medical Center - Buck Pavilion at 1100 9th Avenue,EAST,0.5535270661357682,158738.0,19842.25
335,467,NonResidential,Retail Store,1999,1.0,1.0,176755.0,0.0,100.0,Retail Store,58.08,Supermarket/Grocery Store,41.92,No information,0.0,61.5,18506318.0,325.405,0.054310499999999706,-0.03602920000000154,70100608-Ballard at 915 NW 45th Street,BALLARD,6.6150361940804165,176755.0,176755.0
336,468,NonResidential,Large Office,2009,1.0,5.0,185845.0,35.64,64.36,Office,63.5,Other,0.86,No information,0.0,95.0,5746110.5,40.815,0.017850500000001546,-0.00546920000000739,Interurban Exchange II - SEDO at 535 Terry Ave. North,LAKE UNION,2.026781762353402,185845.0,37169.0
337,469,NonResidential,Laboratory,1928,1.0,3.0,55200.0,0.0,100.0,Laboratory,99.42,Data Center,0.58,No information,0.0,,11580122.0,261.935,0.017260499999999013,-0.005409200000002556,Rosen Building - SEDO at 960 Republican St.,LAKE UNION,1.9616435437070612,55200.0,18400.0
338,470,NonResidential,Laboratory,2003,1.0,4.0,287964.0,38.82,61.18,Laboratory,61.18,No information,0.0,No information,0.0,,36948650.0,908.82,0.01637050000000073,-0.005449200000001042,401 Terry (ID470) at 401 TERRY AVE N,LAKE UNION,1.8655841164290192,287964.0,71991.0
339,471,NonResidential,Large Office,2004,1.0,6.0,139282.0,37.75,62.25,Office,57.0,Financial Office,2.17,No information,0.0,85.0,4252357.0,29.64,0.01653050000000178,-0.005979199999998741,428 Westlake at 428 Westlake Avenue N.,LAKE UNION,1.8919631538826642,139282.0,23213.67
